Committee	CommitteeName	AddDate	AreaRegion	ParentName	ComemID	ContactID	ContactName	CompanyName	ContactAddrID	ContactAddress1	ContactAddress2	ContactCity	ContactState	ContactZip	ContactCountry	ContactPhone	MeetingID	Room	Closed	WheelChr	Day	Time	Language1	Language2	Language3	LocationId	Place	Address	City	LocBorough	State	Zip	Country	Directions	Institutional	Format1	Format2	Format3	Format4	Format5	Delete	LastChanged	longitude	latitude	ContactGP
G00017894	Group	11/18/99	RG616	Show-Me Region	22862												236206		CLOSED	TRUE	Wednesday	2000				186499	AA House	13 Highway	Kingston		MO	64650	USA	At Main	FALSE	VAR						12/7/00	-94.0391484	39.626556	
G00251756	Show Me Recovery Group	3/29/11	RG616	Show-Me Region													281541		OPEN	FALSE	Monday	1200				209111	First Baptist Church	407 North 7th Street	La Grange		MO	63448-1119	USA		FALSE							3/29/11	-91.5040633	40.0464644	
G00214276	Men of Change Group	1/22/09	RG616	Show-Me Region	55936												271990		OPEN	TRUE	Tuesday	1830				204415	South Central Correctional Center	255 West Highway 32	Licking		MO	65542-9076	USA		TRUE	RA						7/14/11	-91.8714658	37.4992762	
G00157363	Recovery in Process Group	3/14/06	RG616	Show-Me Region	157364												258067	Basement	OPEN	FALSE	Monday	1900				197691	Lincoln United Methodist Church	217 West Main Street	Lincoln		MO	65338	USA		FALSE	VAR						4/30/15			
G00255413	New Hope Group	6/2/11	RG616	Show-Me Region	51836												282271		OPEN	FALSE	Monday	1930				209456	United Methodist Church	102 East 1st Street	Lowry City		MO	64763-9107	USA		FALSE	DISC	TOP					12/19/13	-93.7274918	38.1420165	
G00210726	Crossroads to Recovery Group	10/7/08	RG616	Show-Me Region	210725												271040		OPEN	FALSE	Tuesday	1900				203919	Crossbridge Church	302 South Clay Street	Marshfield		MO	65706	USA		FALSE	DISC						10/7/08	-92.9074642	37.3372602	
G00020175	Wednesday Metropolis Group	11/18/99	RG616	Show-Me Region	38774												240742		OPEN	FALSE	Wednesday	2000				189589	Metropolis Public Library	317 Metropolis	Metropolis		IL	62960	USA		FALSE							4/19/00	-88.7321175	37.1488003	
G00004450	Tri Lakes Group	11/18/99	RG616	Show-Me Region	24145												9615		OPEN	FALSE	Thursday	1930				182899	Sacred Heart Church		Mount Groves		IL	62966	USA		FALSE							10/24/02	-89.341667	37.7856972	
G00020852	New Life Beginnings Group	11/18/99	RG616	Show-Me Region	41213												242346		OPEN	FALSE	Thursday	1900				178408		408 West North Street	Mount Sterling		MO	65062	USA		FALSE	DISC						4/12/00	-91.614568	38.4463105	
G00170188	We Will Recover By God Group	10/24/06	RG616	Show-Me Region	169690												260874	School House	OPEN	TRUE	Friday	1900				199066	Newton County Historical Society Museum	121 North Washington Street	Neosho		MO	64850	USA		FALSE	DISC						10/24/06	-94.3672039	36.8698614	
G00171884	Hugs Not Drugs Group	11/14/06	RG616	Show-Me Region	36967												261386		OPEN	TRUE	Monday	1900				199281	Church Army Lead Belt - Recovery Support Building	210 Main Street	Park Hills		MO	63653	USA		FALSE							11/14/06	-90.512623	37.8471815	
G00260642	Promise of Hope Group	9/27/11	RG616	Show-Me Region	260640												283030		OPEN	TRUE	Friday	1900				209948	Living Water Worship Center	521 East Main Street	Park Hills		MO	63601-2623	USA		FALSE	BT	JFT	BEG	CW			9/27/11	-90.5071553	37.8454485	
G00053066	Clearwater Group	7/17/00	RG616	Show-Me Region	44181												5854		CLOSED	TRUE	Tuesday	1930				3525	Saint Catherine's Catholic Church	109 Piedmont Avenue	Peidmont		MO	63957	USA		FALSE							3/3/08	-90.6874376	37.1659748	
G00053066	Clearwater Group	7/17/00	RG616	Show-Me Region	44181												5855		CLOSED	TRUE	Friday	1900				3525	Saint Catherine's Catholic Church	109 Piedmont Avenue	Peidmont		MO	63957	USA		FALSE	DISC						3/3/08	-90.6874376	37.1659748	
G00244284	Here & Now Group	12/22/10	RG616	Show-Me Region	261330												283298		OPEN	FALSE	Friday	1830				194899	First Presbyterian Church	6 East Sainte Marie Street	Perryville		MO	63775-2027	USA		FALSE	BT	DISC	JFT	CW	BEG		11/3/11	-89.8623578	37.7257655	
G00009469	Discussion Group	11/18/99	RG616	Show-Me Region	24145												216897		OPEN	FALSE	Sunday	1800				185047	Plad Union Church	64 Highway	Plad		MO	63901	USA		FALSE	DISC							-92.9795779	37.749815	
G00082435	Clean & Serene Group	7/13/01	RG616	Show-Me Region	82436												5124		OPEN	TRUE	Wednesday	1930				3091		Hemphill Road	Saint Roberts		MO	65583	USA	I-44 to Y Hwy follow to Hemphill Rd  white bldg. on left	FALSE							11/3/15	-92.1447259	37.832947	
